rank,title,name,ticker,url,hq,sector,industry,employees,revenues,revenues_change,profits,profits_change,assets,equity
182,Colgate-Palmolive,Colgate-Palmolive Company,CL,http://www.colgatepalmolive.com,"New York, NY",Household Products,Household and Personal Products,36700,15195.00,-5.20,2441.00,76.40,12123.00,-243.00
183,PPG Industries,"PPG Industries, Inc.",PPG,http://www.ppg.com,"Pittsburgh, PA",Chemicals,Chemicals,47000,15178.00,-1.00,877.00,-37.60,15769.00,4826.00
184,Goodyear Tire & Rubber,The Goodyear Tire & Rubber Company,GT,http://www.goodyear.com,"Akron, OH",Motor Vehicles & Parts,Motor Vehicles and Parts,66000,15158.00,-7.80,1264.00,311.70,16511.00,4507.00
185,Synchrony Financial,Synchrony Financial,SYF,http://www.synchronyfinancial.com,"Stamford, CT",Financials,Diversified Financials,15000,15122.00,11.00,2251.00,1.70,90207.00,14196.00
186,DISH Network,DISH Network Corporation,DISH,http://www.dish.com,"Englewood, CO",Telecommunications,Telecommunications,16000,15095.00,0.20,1449.90,94.10,28092.00,4637.00
187,Visa,Visa Inc.,V,http://www.visa.com,"Foster City, CA",Business Services,Financial Data Services,14200,15082.00,8.70,5991.00,-5.30,64035.00,32912.00
188,Nordstrom,"Nordstrom, Inc.",JWN,http://www.nordstrom.com,"Seattle, WA",Retailing,General Merchandisers,72500,14757.00,2.20,354.00,-41.00,7858.00,870.00
189,INTL FCStone,INTL FCStone Inc.,INTL,http://www.intlfcstone.com,"New York, NY",Financials,Diversified Financials,1464,14755.00,-57.50,54.70,-1.80,5951.00,434.00
190,WestRock,WestRock Company,WRK,http://www.westrock.com,"Richmond, VA",Materials,"Packaging, Containers",39000,14706.00,29.20,-396.30,-178.20,23038.00,9729.00
191,XPO Logistics,"XPO Logistics, Inc.",XPO,http://www.xpo.com,"Greenwich, CT",Transportation,Transportation and Logistics,87000,14619.00,91.80,69.00,NA,11698.00,2700.00
192,Aramark,Aramark,ARMK,http://www.aramark.com,"Philadelphia, PA",Business Services,Diversified Outsourcing Services,217250,14416.00,0.60,287.80,22.00,10582.00,2161.00
193,CBS,CBS Corporation,CBS,http://www.cbscorporation.com,"New York, NY",Media,Entertainment,18410,14386.00,3.60,1261.00,-10.80,24238.00,3689.00
194,AES,The AES Corporation,AES,http://www.aes.com,"Arlington, VA",Energy,Utilities: Gas and Electric,19000,14287.00,-4.50,-1130.00,-469.30,36119.00,2794.00
195,WellCare Health Plans,"WellCare Health Plans, Inc.",WCG,http://www.wellcare.com,"Tampa, FL",Health Care,Health Care: Insurance and Managed Care,7400,14237.00,2.50,242.10,104.10,6153.00,2000.00
196,FirstEnergy,FirstEnergy Corp.,FE,http://www.firstenergycorp.com,"Akron, OH",Energy,Utilities: Gas and Electric,15707,14156.00,-3.10,-6177.00,-1168.70,43148.00,6241.00
197,Conagra Brands,"Conagra Brands, Inc.",CAG,http://www.conagrabrands.com,"Chicago, IL","Food, Beverages & Tobacco",Food Consumer Products,20900,14134.00,-10.80,-677.00,NA,13391.00,3714.00
198,Synnex,Synnex Corporation,SNX,http://www.synnex.com,"Fremont, CA",Wholesalers,Wholesalers: Electronics and Office Equipment,110000,14062.00,5.40,234.90,12.70,5223.00,1976.00
199,CDW,CDW Corporation,CDW,http://www.cdw.com,"Lincolnshire, IL",Technology,Information Technology Services,8516,13982.00,7.60,424.40,5.30,6948.00,1046.00
200,Textron,Textron Inc.,TXT,http://www.textron.com,"Providence, RI",Aerospace & Defense,Aerospace and Defense,36000,13788.00,2.70,962.00,38.00,15358.00,5574.00
201,Waste Management,"Waste Management, Inc.",WM,http://www.wm.com,"Houston, TX",Business Services,Waste Management,41200,13609.00,5.00,1182.00,57.00,20859.00,5297.00
202,Illinois Tool Works,Illinois Tool Works Inc.,ITW,http://www.itw.com,"Glenview, IL",Industrials,Industrial Machinery,50000,NA,1.40,2035.00,7.20,15201.00,4254.00
203,Office Depot,"Office Depot, Inc.",ODP,http://www.officedepot.com,"Boca Raton, FL",Retailing,Specialty Retailers: Other,38000,13585.00,-6.20,529.00,NA,5540.00,1852.00
204,Monsanto,Monsanto Company,MON,http://www.monsanto.com,"St. Louis, MO",Chemicals,Chemicals,22450,13502.00,-10.00,1336.00,-42.30,19736.00,4534.00
