tag,date,question_count,question_pct,unanswered_count,unanswered_pct
amazon-elasticache,9/22/2018,434.00,2.63e-5,179.00,3.74e-5
stripe-payments,9/22/2018,4957.00,3.00636e-4,1796.00,3.74974e-4
amazon-emr,9/22/2018,3044.00,1.84616e-4,1240.00,2.58892e-4
amazon-ses,9/22/2018,930.00,5.64e-5,351.00,7.33e-5
google-spreadsheet,9/22/2018,15650.00,9.49156e-4,5966.00,1.25E-03
amazon-sqs,9/22/2018,1580.00,9.58e-5,556.00,1.16084e-4
ios9,9/22/2018,4184.00,2.53756e-4,1580.00,3.29879e-4
amazon-dynamodb,9/22/2018,5969.00,3.62014e-4,2168.00,4.52644e-4
amazon-cognito,9/22/2018,2822.00,1.71152e-4,1195.00,2.49497e-4
amazon-redshift,9/22/2018,3492.00,2.11786e-4,1263.00,2.63694e-4
azure,9/22/2018,61167.00,3.71E-03,21069.00,4.40E-03
amazon-cloudwatch,9/22/2018,1163.00,7.05e-5,495.00,1.03348e-4
dropbox-api,9/22/2018,2071.00,1.25604e-4,830.00,1.7329e-4
sql-server,9/22/2018,242319.00,1.47E-02,60788.00,1.27E-02
excel,9/22/2018,177449.00,1.08E-02,61750.00,1.29E-02
amazon-sns,9/22/2018,1397.00,8.47e-5,598.00,1.24853e-4
amazon-simpledb,9/22/2018,392.00,2.38e-5,78.00,1.63e-5
actionscript,9/22/2018,9100.00,5.51907e-4,2443.00,5.1006e-4
mongodb,9/22/2018,104030.00,6.31E-03,36467.00,7.61E-03
amazon-mws,9/22/2018,706.00,4.28e-5,278.00,5.8e-5
amazon-swf,9/22/2018,232.00,1.41e-5,77.00,1.61e-5
amazon-web-services,9/22/2018,63823.00,3.87E-03,25094.00,5.24E-03
amazon-elb,9/22/2018,1448.00,8.78e-5,559.00,1.1671e-4
paypal,9/22/2018,18039.00,1.09E-03,8392.00,1.75E-03
mongodb,9/21/2018,104088.00,6.31E-03,36543.00,7.62E-03
amazon-simpledb,9/21/2018,392.00,2.38e-5,78.00,1.63e-5
amazon-ses,9/21/2018,933.00,5.66e-5,354.00,7.38e-5
citrix,9/21/2018,598.00,3.63e-5,293.00,6.11e-5
amazon-rds,9/21/2018,2533.00,1.53596e-4,1029.00,2.14571e-4
amazon-cloudfront,9/21/2018,2262.00,1.37163e-4,888.00,1.8517e-4
amazon-cloudsearch,9/21/2018,319.00,1.93e-5,135.00,2.82e-5
android,9/21/2018,1138118.00,6.90E-02,424945.00,8.86E-02
paypal,9/21/2018,18059.00,1.10E-03,8414.00,1.75E-03
amazon-mws,9/21/2018,706.00,4.28e-5,278.00,5.8e-5
amazon-data-pipeline,9/21/2018,402.00,2.44e-5,199.00,4.15e-5
amazon-cognito,9/21/2018,2830.00,1.71605e-4,1207.00,2.51689e-4
ios9,9/21/2018,4183.00,2.53648e-4,1581.00,3.29678e-4
amazon-sqs,9/21/2018,1579.00,9.57e-5,556.00,1.15939e-4
azure,9/21/2018,61151.00,3.71E-03,21081.00,4.40E-03
amazon-swf,9/21/2018,232.00,1.41e-5,77.00,1.61e-5
osx,9/21/2018,87463.00,5.30E-03,87463.00,1.82E-02
amazon-ebs,9/21/2018,338.00,2.05e-5,54.00,1.13e-5
